Indicator,Disaggregation combinations using this value
#1-1-1,10
#1-2-1,3
#1-3-1,11
#1-5-1,10
#1-5-2,7
#1-5-3,1
#1-5-4,3
#1-a-2,1
#10-2-1,1
#10-4-1,1
#10-5-1,7
#10-6-1,14
#10-a-1,1
#10-b-1,1
#10-c-1,1
#11-1-1,1
#11-5-1,10
#11-5-2,14
#11-6-1,2
#11-6-2,2
#11-b-1,1
#11-b-2,3
#12-4-1,4
#13-1-1,10
#13-1-2,1
#13-1-3,3
#14-b-1,1
#15-1-1,3
#15-1-2,2
#15-2-1,5
#15-4-1,1
#15-4-2,7
#15-5-1,1
#15-6-1,5
#15-a-1,1
#16-10-2,1
#16-2-1,1
#16-2-2,7
#16-2-3,1
#16-5-2,1
#16-6-1,1
#16-8-1,14
#16-9-1,1
#16-a-1,2
#17-1-1,2
#17-1-2,1
#17-10-1,2
#17-15-1,4
#17-16-1,1
#17-18-2,1
#17-18-3,4
#17-19-1,1
#17-19-2,3
#17-3-2,1
#17-4-1,1
#17-6-2,4
#17-8-1,1
#17-9-1,1
#2-1-1,2
#2-1-2,12
#2-2-1,2
#2-2-2,4
#2-3-2,1
#2-5-1,1
#2-a-1,3
#2-a-2,1
#3-1-1,1
#3-1-2,1
#3-2-1,12
#3-2-2,2
#3-3-1,13
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,15
#3-4-2,6
#3-5-2,3
#3-6-1,1
#3-7-1,1
#3-7-2,1
#3-8-1,1
#3-8-2,2
#3-9-1,6
#3-9-2,1
#3-9-3,3
#3-a-1,3
#3-b-1,3
#3-b-2,2
#3-c-1,4
#3-d-1,26
#4-2-1,1
#4-2-2,3
#4-3-1,3
#4-5-1,7
#4-a-1,7
#4-b-1,1
#4-c-1,15
#5-2-1,8
#5-3-1,2
#5-5-1,4
#5-5-2,2
#5-6-1,4
#5-c-1,1
#6-1-1,3
#6-2-1,6
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-6-1,4
#6-a-1,1
#6-b-1,4
#7-1-1,3
#7-1-2,1
#7-2-1,1
#7-3-1,1
#7-a-1,1
#8-1-1,1
#8-10-1,2
#8-10-2,3
#8-2-1,1
#8-4-2,3
#8-5-2,9
#8-6-1,3
#8-7-1,6
#8-a-1,2
#9-1-1,1
#9-1-2,7
#9-2-1,2
#9-2-2,1
#9-3-1,1
#9-3-2,1
#9-4-1,3
#9-5-1,1
#9-5-2,1
#9-a-1,1
#9-b-1,1
#9-c-1,3
