Year,Series,REF_AREA,SEX,ACTIVITY,Units,Value
2008,SL_ISV_IFEM,,,,PT,99.7
2017,SL_ISV_IFEM,,,,PT,80.8
2008,SL_ISV_IFEM,,,ISIC4_A,PT,100.0
2017,SL_ISV_IFEM,,,ISIC4_A,PT,92.5
2008,SL_ISV_IFEM,,,ISIC4_BTU,PT,98.9
2017,SL_ISV_IFEM,,,ISIC4_BTU,PT,77.6
2008,SL_ISV_IFEM,,F,,PT,99.9
2017,SL_ISV_IFEM,,F,,PT,86.5
2008,SL_ISV_IFEM,,F,ISIC4_A,PT,100.0
2017,SL_ISV_IFEM,,F,ISIC4_A,PT,94.7
2008,SL_ISV_IFEM,,F,ISIC4_BTU,PT,99.4
2017,SL_ISV_IFEM,,F,ISIC4_BTU,PT,82.4
2008,SL_ISV_IFEM,,M,,PT,99.4
2017,SL_ISV_IFEM,,M,,PT,77.5
2008,SL_ISV_IFEM,,M,ISIC4_A,PT,100.0
2017,SL_ISV_IFEM,,M,ISIC4_A,PT,89.5
2008,SL_ISV_IFEM,,M,ISIC4_BTU,PT,98.7
2017,SL_ISV_IFEM,,M,ISIC4_BTU,PT,75.4
