Year,Series,REF_AREA,SEX,Units,Value
2000,SH_STA_SCIDE,524,,PER_100000_POP,15.4
2005,SH_STA_SCIDE,524,,PER_100000_POP,12.5
2010,SH_STA_SCIDE,524,,PER_100000_POP,10.5
2015,SH_STA_SCIDE,524,,PER_100000_POP,9.1
2016,SH_STA_SCIDE,524,,PER_100000_POP,8.8
2000,SH_STA_SCIDE,524,F,PER_100000_POP,14.0
2005,SH_STA_SCIDE,524,F,PER_100000_POP,12.0
2010,SH_STA_SCIDE,524,F,PER_100000_POP,10.2
2015,SH_STA_SCIDE,524,F,PER_100000_POP,8.3
2016,SH_STA_SCIDE,524,F,PER_100000_POP,7.9
2000,SH_STA_SCIDE,524,M,PER_100000_POP,16.8
2005,SH_STA_SCIDE,524,M,PER_100000_POP,13.0
2010,SH_STA_SCIDE,524,M,PER_100000_POP,10.7
2015,SH_STA_SCIDE,524,M,PER_100000_POP,10.0
2016,SH_STA_SCIDE,524,M,PER_100000_POP,9.7
2000,SH_STA_SCIDEN,524,,NUMBER,3649.0
2005,SH_STA_SCIDEN,524,,NUMBER,3208.0
2010,SH_STA_SCIDEN,524,,NUMBER,2827.0
2015,SH_STA_SCIDEN,524,,NUMBER,2620.0
2016,SH_STA_SCIDEN,524,,NUMBER,2544.0
2000,SH_STA_SCIDEN,524,F,NUMBER,1671.0
2005,SH_STA_SCIDEN,524,F,NUMBER,1554.0
2010,SH_STA_SCIDEN,524,F,NUMBER,1411.0
2015,SH_STA_SCIDEN,524,F,NUMBER,1231.0
2016,SH_STA_SCIDEN,524,F,NUMBER,1176.0
2000,SH_STA_SCIDEN,524,M,NUMBER,1978.0
2005,SH_STA_SCIDEN,524,M,NUMBER,1654.0
2010,SH_STA_SCIDEN,524,M,NUMBER,1416.0
2015,SH_STA_SCIDEN,524,M,NUMBER,1390.0
2016,SH_STA_SCIDEN,524,M,NUMBER,1368.0
